* Fit function: E_MeV = k * E_CH + h, then E_CH = 1/k * E_MeV - h/k 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum      k1        h1          k2           h2          k3          h3       k11=1./k1  h11=-h1/k1   k22=1./k2  h22=-h2/k2   k33=1./k3  h33=-h3/k3
    0       0    0.146818    -12.5344    0.144706     -12.354    0.143294    -12.2335     6.81114     85.3735     6.91057     85.3735     6.97864     85.3735
    0       1    0.145277     -11.147    0.143159    -10.9845    0.141525    -10.8592     6.88341     76.7296     6.98525     76.7296     7.06587     76.7296
    0       2    0.144497    -9.94269    0.142729    -9.82107    0.141281     -9.7214     6.92058     68.8092     7.00628     68.8092     7.07812     68.8092
    0       3    0.145401    -15.8055    0.143687    -15.6192    0.142179    -15.4552     6.87751     108.702     6.95955     108.702     7.03341     108.702
    0       4    0.145746    -9.31367    0.143953    -9.19911    0.142607    -9.11309     6.86125     63.9034      6.9467     63.9034     7.01227     63.9034
    0       5    0.141485    -13.4757    0.139825    -13.3176    0.138909    -13.2303     7.06787     95.2443     7.15177     95.2443     7.19895     95.2443
    0       6    0.143692    -14.6304    0.141735    -14.4311    0.140443    -14.2996     6.95932     101.818     7.05543     101.818     7.12031     101.818
    0       7    0.141652    -12.5392    0.140035     -12.396    0.139035    -12.3075     7.05956     88.5208     7.14108     88.5208     7.19243     88.5208
    0       8    0.146192    -10.8761     0.14427    -10.7331    0.142852    -10.6276     6.84031     74.3959     6.93146     74.3959     7.00026     74.3959
    0       9     0.14429    -10.1622    0.142389    -10.0283    0.141264      -9.949     6.93048     70.4286     7.02301     70.4286     7.07896     70.4286
    0      10    0.144935    -13.1263    0.143089    -12.9591    0.141861    -12.8479     6.89964     90.5664     6.98866     90.5664     7.04915     90.5664
    0      11     0.14302    -9.00247    0.141135    -8.88382    0.140129    -8.82047     6.99203     62.9456     7.08541     62.9456      7.1363     62.9456
    0      12    0.142533    -13.5137    0.140703    -13.3402    0.139643    -13.2397     7.01592     94.8111     7.10717     94.8111      7.1611     94.8111
    0      13    0.144093    -13.0637    0.142317    -12.9027    0.140766     -12.762     6.93999     90.6616     7.02657     90.6616       7.104     90.6616
    0      14    0.144884    -12.2692    0.142967    -12.1069    0.141592    -11.9904     6.90207      84.683     6.99461      84.683     7.06255      84.683
    0      15    0.143344    -13.6268     0.14157     -13.458    0.141033     -13.407      6.9762      95.063     7.06367      95.063     7.09053      95.063
    1       0    0.079404    -4.60458   0.0787841    -4.56863   0.0783042     -4.5408     12.5938     57.9893     12.6929     57.9893     12.7707     57.9893
    1       1   0.0776155     -5.9067   0.0769785    -5.85822   0.0766056    -5.82985      12.884     76.1021     12.9906     76.1021     13.0539     76.1021
    1       2   0.0760255    -4.62068   0.0754266    -4.58428   0.0750196    -4.55954     13.1535      60.778     13.2579      60.778     13.3299      60.778
    1       3   0.0767963    -5.55688   0.0762107     -5.5145   0.0758846    -5.49091     13.0215     72.3586     13.1215     72.3586     13.1779     72.3586
    1       4   0.0764707    -6.26795   0.0758843    -6.21989   0.0755196    -6.18999     13.0769     81.9654      13.178     81.9654     13.2416     81.9654
    1       5   0.0776042    -4.59823   0.0770296    -4.56418   0.0767348    -4.54671     12.8859     59.2523      12.982     59.2523     13.0319     59.2523
    1       6   0.0773365    -6.63734   0.0767266      -6.585   0.0764226     -6.5589     12.9305     85.8242     13.0333     85.8242     13.0851     85.8242
    1       7   0.0772828    -6.36432   0.0766692     -6.3138   0.0764539    -6.29607     12.9395     82.3512      13.043     82.3512     13.0798     82.3512
    1       8   0.0754127    -5.48162   0.0748452    -5.44037   0.0745213    -5.41683     13.2604     72.6883     13.3609     72.6883      13.419     72.6883
    1       9   0.0765956    -6.43747    0.075993    -6.38682   0.0757057    -6.36267     13.0556     84.0448     13.1591     84.0448      13.209     84.0448
    1      10   0.0768689    -6.02985   0.0761928    -5.97681   0.0758869    -5.95282     13.0092     78.4433     13.1246     78.4433     13.1775     78.4433
    1      11   0.0745847    -5.44123   0.0740956    -5.40556   0.0737524    -5.38052     13.4076     72.9538     13.4961     72.9538     13.5589     72.9538
    1      12   0.0757341    -5.10363   0.0752865    -5.07347   0.0749757    -5.05253     13.2041     67.3888     13.2826     67.3888     13.3376     67.3888
    1      13   0.0764907    -6.24139   0.0759111    -6.19409   0.0755086    -6.16125     13.0735     81.5967     13.1733     81.5967     13.2435     81.5967
    1      14   0.0766448    -4.97956   0.0759884    -4.93691   0.0755621    -4.90922     13.0472     64.9693     13.1599     64.9693     13.2341     64.9693
    1      15   0.0786598     -5.0213   0.0779453    -4.97569   0.0773325    -4.93657      12.713     63.8357     12.8295     63.8357     12.9312     63.8357
    2       0   0.0301343    -2.08205   0.0297939    -2.05853    0.029509    -2.03885     33.1848     69.0923     33.5639     69.0923     33.8879     69.0923
    2       1   0.0292961    -2.04574   0.0289981    -2.02492   0.0287822    -2.00985     34.1342     69.8296      34.485     69.8296     34.7437     69.8296
    2       2     0.02944    -2.06935   0.0291354    -2.04794    0.028901    -2.03147     33.9674     70.2905     34.3225     70.2905     34.6008     70.2905
    2       3   0.0294165    -2.23066   0.0291425    -2.20989    0.028897    -2.19127     33.9945     75.8304     34.3141     75.8304     34.6057     75.8304
    2       4   0.0296804     -2.3021    0.029346    -2.27616   0.0290521    -2.25337     33.6922      77.563     34.0762      77.563     34.4209      77.563
    2       5   0.0298915    -2.61134   0.0295832    -2.58441   0.0293666    -2.56549     33.4543     87.3607      33.803     87.3607     34.0523     87.3607
    2       6   0.0291603    -2.52805   0.0288618    -2.50217   0.0286473    -2.48357     34.2932     86.6949     34.6479     86.6949     34.9073     86.6949
    2       7   0.0294897    -2.84753   0.0291836    -2.81798   0.0289657    -2.79694     33.9102     96.5602     34.2658     96.5602     34.5235     96.5602
    2       8   0.0299272    -2.30719    0.029586    -2.28088   0.0292929    -2.25829     33.4144     77.0934     33.7998     77.0934      34.138     77.0934
    2       9   0.0298776    -2.20176   0.0295397    -2.17685    0.029344    -2.16243     33.4698     73.6925     33.8528     73.6925     34.0785     73.6925
    2      10   0.0297435    -2.84236   0.0294259      -2.812    0.029176    -2.78813     33.6208     95.5623     33.9837     95.5623     34.2747     95.5623
    2      11   0.0292267    -2.32326   0.0289197    -2.29885   0.0286907    -2.28065     34.2153     79.4909     34.5785     79.4909     34.8546     79.4909
    2      12   0.0298234    -2.62724   0.0295092    -2.59956   0.0292783    -2.57922     33.5307     88.0932     33.8877     88.0932      34.155     88.0932
    2      13   0.0291564    -2.36824    0.028856    -2.34384   0.0286615    -2.32804     34.2978     81.2253     34.6549     81.2253       34.89     81.2253
    2      14    0.029618    -2.85398   0.0293287    -2.82611   0.0291437    -2.80828     33.7632     96.3597     34.0963     96.3597     34.3127     96.3597
    2      15   0.0289576    -2.02584   0.0286728    -2.00591   0.0284751    -1.99208     34.5332     69.9587     34.8762     69.9587     35.1184     69.9587
    3       0  -0.0438898     4.90407   -0.046965     5.24768  -0.0498628     5.57147    -22.7843     111.736    -21.2924     111.736     -20.055     111.736
    3       1   0.0208046    -1.56591   0.0207268    -1.56005   0.0206793    -1.55648     48.0663     75.2676     48.2467     75.2676     48.3575     75.2676
    3       2   0.0199719    -1.65499   0.0199054    -1.64948   0.0198436    -1.64436     50.0704     82.8661     50.2376     82.8661     50.3941     82.8661
    3       3   0.0207749    -1.62603    0.020712    -1.62111   0.0206509    -1.61633     48.1351     78.2692     48.2811     78.2692      48.424     78.2692
    3       4   0.0207345    -1.91742   0.0206742    -1.91184   0.0206049    -1.90544     48.2289      92.475     48.3696      92.475     48.5321      92.475
    3       5   0.0203775     -1.5107   0.0203267    -1.50694   0.0202543    -1.50157     49.0738     74.1358     49.1963     74.1358     49.3723     74.1358
    3       6   0.0197808    -1.51135   0.0197162    -1.50641   0.0196783    -1.50352      50.554     76.4047     50.7196     76.4047     50.8173     76.4047
    3       7   0.0203874    -1.57527     0.02033    -1.57083   0.0202835    -1.56724     49.0498     77.2664     49.1883     77.2664     49.3011     77.2664
    3       8   0.0201076    -1.47184   0.0200655    -1.46876    0.019997    -1.46374     49.7323     73.1981     49.8367     73.1981     50.0074     73.1981
    3       9   0.0209105    -1.45139   0.0208579    -1.44774   0.0207973    -1.44354      47.823     69.4099     47.9435     69.4099     48.0832     69.4099
    3      10   0.0206549    -2.02707   0.0205971     -2.0214    0.020537     -2.0155     48.4147     98.1399     48.5504     98.1399     48.6926     98.1399
    3      11   0.0211921    -1.62052   0.0211155    -1.61465   0.0210732    -1.61142     47.1874     76.4679     47.3587     76.4679     47.4536     76.4679
    3      12   0.0199605    -1.99612   0.0198906    -1.98912   0.0198303    -1.98309     50.0989     100.003     50.2751     100.003     50.4279     100.003
    3      13   0.0205725    -1.59246   0.0205259    -1.58885   0.0204804    -1.58533     48.6086     77.4073      48.719     77.4073     48.8273     77.4073
    3      14    0.020893    -1.61725   0.0208109    -1.61089   0.0207503     -1.6062      47.863     77.4063     48.0518     77.4063     48.1921     77.4063
    3      15   0.0209993    -1.52599   0.0209121    -1.51965    0.020849    -1.51507     47.6207     72.6685     47.8191     72.6685     47.9639     72.6685
